               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11808,            0.031697,                   0,                   0,                   0,                   0,                   0,                   0,            0.024723,                   0,              0.0001,              0.0001,              0.0991
                   1,             0.12432,            0.032371,                   0,                   0,                   0,                   0,                   0,                   0,            0.022721,                   0,          0.00018921,          0.00018921,            0.098089
                   2,             0.11259,            0.030304,                   0,                   0,                   0,                   0,                   0,                   0,             0.02077,                   0,          0.00025664,          0.00025664,            0.097057
                   3,             0.11814,            0.027784,                   0,                   0,                   0,                   0,                   0,                   0,            0.019557,                   0,          0.00030229,          0.00030229,            0.096002
                   4,             0.10579,            0.028833,                   0,                   0,                   0,                   0,                   0,                   0,            0.018431,                   0,          0.00032616,          0.00032616,            0.094926
                   5,             0.11089,            0.029602,                   0,                   0,                   0,                   0,                   0,                   0,            0.017251,                   0,          0.00032825,          0.00032825,            0.093828
                   6,             0.10476,            0.029033,                   0,                   0,                   0,                   0,                   0,                   0,            0.016389,                   0,          0.00030856,          0.00030856,            0.092709
                   7,            0.093643,            0.029011,                   0,                   0,                   0,                   0,                   0,                   0,            0.015579,                   0,          0.00026709,          0.00026709,            0.091567
                   8,            0.092446,            0.025978,                   0,                   0,                   0,                   0,                   0,                   0,            0.014967,                   0,          0.00020384,          0.00020384,            0.090404
                   9,            0.083215,            0.026427,                   0,                   0,                   0,                   0,                   0,                   0,            0.014519,                   0,          0.00011881,          0.00011881,            0.089219
