               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12662,            0.032253,                   0,                   0,                   0,                   0,                   0,                   0,            0.026278,                   0,               1e-05,               1e-05,             0.09991
                   1,             0.12605,            0.032963,                   0,                   0,                   0,                   0,                   0,                   0,            0.025301,                   0,          2.9851e-05,          2.9851e-05,             0.09973
                   2,             0.12558,            0.031594,                   0,                   0,                   0,                   0,                   0,                   0,            0.024025,                   0,          4.9505e-05,          4.9505e-05,             0.09955
                   3,             0.12589,            0.028995,                   0,                   0,                   0,                   0,                   0,                   0,            0.022713,                   0,           6.896e-05,           6.896e-05,            0.099369
                   4,             0.11995,            0.029805,                   0,                   0,                   0,                   0,                   0,                   0,            0.021406,                   0,          8.8218e-05,          8.8218e-05,            0.099188
                   5,             0.12174,            0.029817,                   0,                   0,                   0,                   0,                   0,                   0,            0.020151,                   0,          0.00010728,          0.00010728,            0.099007
                   6,             0.11679,            0.029536,                   0,                   0,                   0,                   0,                   0,                   0,            0.018989,                   0,          0.00012614,          0.00012614,            0.098826
                   7,             0.11256,            0.028777,                   0,                   0,                   0,                   0,                   0,                   0,            0.017966,                   0,           0.0001448,           0.0001448,            0.098645
                   8,             0.11093,            0.026056,                   0,                   0,                   0,                   0,                   0,                   0,            0.017055,                   0,          0.00016327,          0.00016327,            0.098463
                   9,              0.1067,             0.02573,                   0,                   0,                   0,                   0,                   0,                   0,            0.016169,                   0,          0.00018154,          0.00018154,            0.098282
                  10,             0.10852,             0.02565,                   0,                   0,                   0,                   0,                   0,                   0,            0.015359,                   0,           0.0001996,           0.0001996,              0.0981
                  11,             0.10337,            0.025873,                   0,                   0,                   0,                   0,                   0,                   0,            0.014644,                   0,          0.00021748,          0.00021748,            0.097917
                  12,             0.10022,            0.026343,                   0,                   0,                   0,                   0,                   0,                   0,            0.013987,                   0,          0.00023515,          0.00023515,            0.097735
                  13,            0.097669,            0.026128,                   0,                   0,                   0,                   0,                   0,                   0,            0.013364,                   0,          0.00025263,          0.00025263,            0.097553
                  14,             0.10136,            0.024217,                   0,                   0,                   0,                   0,                   0,                   0,            0.012808,                   0,           0.0002699,           0.0002699,             0.09737
                  15,            0.093232,            0.024777,                   0,                   0,                   0,                   0,                   0,                   0,            0.012309,                   0,          0.00028698,          0.00028698,            0.097187
                  16,            0.096581,            0.028828,                   0,                   0,                   0,                   0,                   0,                   0,            0.011864,                   0,          0.00030386,          0.00030386,            0.097004
                  17,            0.093548,            0.026527,                   0,                   0,                   0,                   0,                   0,                   0,            0.011419,                   0,          0.00032055,          0.00032055,            0.096821
                  18,            0.093711,            0.027141,                   0,                   0,                   0,                   0,                   0,                   0,            0.011049,                   0,          0.00033703,          0.00033703,            0.096637
                  19,            0.085022,            0.028818,                   0,                   0,                   0,                   0,                   0,                   0,            0.010705,                   0,          0.00035332,          0.00035332,            0.096453
                  20,            0.091293,            0.027059,                   0,                   0,                   0,                   0,                   0,                   0,            0.010369,                   0,          0.00036941,          0.00036941,            0.096269
                  21,            0.086046,            0.027312,                   0,                   0,                   0,                   0,                   0,                   0,            0.010058,                   0,           0.0003853,           0.0003853,            0.096085
                  22,            0.086827,            0.025761,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097693,                   0,            0.000401,            0.000401,            0.095901
                  23,            0.087818,            0.025721,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095155,                   0,          0.00041649,          0.00041649,            0.095716
                  24,            0.083318,            0.030184,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092743,                   0,          0.00043179,          0.00043179,            0.095532
                  25,            0.078288,            0.025203,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090216,                   0,          0.00044689,          0.00044689,            0.095347
                  26,            0.080422,            0.026144,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088134,                   0,          0.00046179,          0.00046179,            0.095162
                  27,            0.075752,            0.031706,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086104,                   0,          0.00047649,          0.00047649,            0.094976
                  28,            0.072955,            0.028079,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084508,                   0,            0.000491,            0.000491,            0.094791
                  29,            0.080197,            0.029795,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082963,                   0,          0.00050531,          0.00050531,            0.094605
                  30,            0.074508,            0.024029,                   0,                   0,                   0,                   0,                   0,                   0,             0.00812,                   0,          0.00051942,          0.00051942,            0.094419
                  31,            0.071013,            0.026844,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079712,                   0,          0.00053333,          0.00053333,            0.094233
                  32,            0.074307,            0.024033,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078279,                   0,          0.00054704,          0.00054704,            0.094047
                  33,            0.073952,            0.026204,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076951,                   0,          0.00056056,          0.00056056,            0.093861
                  34,            0.066549,            0.025748,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075771,                   0,          0.00057387,          0.00057387,            0.093674
                  35,            0.073158,             0.02749,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074757,                   0,          0.00058699,          0.00058699,            0.093487
                  36,            0.074096,            0.027089,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073835,                   0,          0.00059991,          0.00059991,              0.0933
                  37,            0.067594,            0.028432,                   0,                   0,                   0,                   0,                   0,                   0,            0.007305,                   0,          0.00061264,          0.00061264,            0.093113
                  38,            0.069567,            0.026934,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072406,                   0,          0.00062516,          0.00062516,            0.092925
                  39,            0.071956,            0.024783,                   0,                   0,                   0,                   0,                   0,                   0,            0.007163,                   0,          0.00063749,          0.00063749,            0.092737
                  40,            0.068346,            0.025155,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071019,                   0,          0.00064962,          0.00064962,             0.09255
                  41,            0.068552,            0.029315,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070811,                   0,          0.00066155,          0.00066155,            0.092362
                  42,            0.066442,            0.023779,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070406,                   0,          0.00067329,          0.00067329,            0.092173
                  43,            0.064175,            0.026518,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070077,                   0,          0.00068482,          0.00068482,            0.091985
                  44,            0.065537,            0.027421,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069902,                   0,          0.00069616,          0.00069616,            0.091796
                  45,            0.066902,            0.022665,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069741,                   0,           0.0007073,           0.0007073,            0.091607
                  46,            0.060991,            0.026482,                   0,                   0,                   0,                   0,                   0,                   0,             0.00702,                   0,          0.00071824,          0.00071824,            0.091418
                  47,            0.060826,            0.031255,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070673,                   0,          0.00072898,          0.00072898,            0.091229
                  48,            0.060448,            0.022362,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071033,                   0,          0.00073953,          0.00073953,             0.09104
                  49,            0.064178,            0.028495,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071112,                   0,          0.00074988,          0.00074988,             0.09085
                  50,            0.057008,            0.022014,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071941,                   0,          0.00076003,          0.00076003,             0.09066
                  51,            0.056871,             0.02587,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072832,                   0,          0.00076998,          0.00076998,             0.09047
                  52,            0.066174,            0.020898,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073539,                   0,          0.00077973,          0.00077973,             0.09028
                  53,            0.065294,            0.020101,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074072,                   0,          0.00078929,          0.00078929,            0.090089
                  54,            0.056928,            0.026971,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075237,                   0,          0.00079864,          0.00079864,            0.089899
                  55,            0.061275,            0.024506,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077486,                   0,           0.0008078,           0.0008078,            0.089708
                  56,            0.057405,            0.022891,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079043,                   0,          0.00081676,          0.00081676,            0.089517
                  57,            0.055882,            0.024285,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081443,                   0,          0.00082553,          0.00082553,            0.089326
                  58,            0.055953,            0.020304,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081829,                   0,          0.00083409,          0.00083409,            0.089134
                  59,            0.057393,            0.022176,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081518,                   0,          0.00084246,          0.00084246,            0.088942
                  60,            0.062279,            0.019773,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080636,                   0,          0.00085063,          0.00085063,            0.088751
                  61,            0.062793,            0.022672,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077871,                   0,           0.0008586,           0.0008586,            0.088559
                  62,             0.05866,            0.021106,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076361,                   0,          0.00086637,          0.00086637,            0.088366
                  63,            0.061288,            0.019836,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074124,                   0,          0.00087395,          0.00087395,            0.088174
                  64,            0.058341,            0.021669,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072549,                   0,          0.00088133,          0.00088133,            0.087981
                  65,            0.058757,            0.020633,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071122,                   0,          0.00088851,          0.00088851,            0.087789
                  66,             0.05658,            0.025439,                   0,                   0,                   0,                   0,                   0,                   0,            0.007152,                   0,          0.00089549,          0.00089549,            0.087595
                  67,            0.054557,            0.025116,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071564,                   0,          0.00090227,          0.00090227,            0.087402
                  68,            0.056696,            0.020337,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071593,                   0,          0.00090886,          0.00090886,            0.087209
                  69,            0.053894,            0.019949,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070113,                   0,          0.00091525,          0.00091525,            0.087015
                  70,             0.06021,            0.019913,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071136,                   0,          0.00092143,          0.00092143,            0.086821
                  71,            0.047878,            0.020995,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070821,                   0,          0.00092743,          0.00092743,            0.086627
                  72,            0.051689,            0.018846,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069307,                   0,          0.00093322,          0.00093322,            0.086433
                  73,            0.057832,            0.023254,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069817,                   0,          0.00093882,          0.00093882,            0.086239
                  74,            0.059463,             0.02004,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068412,                   0,          0.00094421,          0.00094421,            0.086044
                  75,            0.052512,            0.017632,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067552,                   0,          0.00094941,          0.00094941,            0.085849
                  76,             0.05227,            0.024209,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067968,                   0,          0.00095441,          0.00095441,            0.085654
                  77,            0.052001,            0.022534,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069095,                   0,          0.00095922,          0.00095922,            0.085459
                  78,            0.050862,            0.024243,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070895,                   0,          0.00096382,          0.00096382,            0.085264
                  79,            0.049521,            0.020363,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071763,                   0,          0.00096823,          0.00096823,            0.085068
                  80,            0.054664,            0.019588,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070118,                   0,          0.00097244,          0.00097244,            0.084872
                  81,            0.053647,            0.016639,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067772,                   0,          0.00097645,          0.00097645,            0.084676
                  82,            0.049647,             0.01724,                   0,                   0,                   0,                   0,                   0,                   0,            0.006396,                   0,          0.00098027,          0.00098027,             0.08448
                  83,             0.05301,             0.02021,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061987,                   0,          0.00098388,          0.00098388,            0.084284
                  84,            0.050224,            0.022055,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061195,                   0,           0.0009873,           0.0009873,            0.084087
                  85,            0.048269,            0.018689,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062851,                   0,          0.00099052,          0.00099052,            0.083891
                  86,            0.045995,             0.01664,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062647,                   0,          0.00099354,          0.00099354,            0.083694
                  87,            0.049487,             0.02104,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064822,                   0,          0.00099636,          0.00099636,            0.083496
                  88,            0.048273,            0.018581,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065582,                   0,          0.00099899,          0.00099899,            0.083299
                  89,            0.051767,            0.016445,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065381,                   0,           0.0010014,           0.0010014,            0.083101
                  90,            0.047886,            0.014693,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062561,                   0,           0.0010036,           0.0010036,            0.082904
                  91,            0.052865,             0.01654,                   0,                   0,                   0,                   0,                   0,                   0,            0.005909,                   0,           0.0010057,           0.0010057,            0.082706
                  92,            0.047613,            0.017609,                   0,                   0,                   0,                   0,                   0,                   0,            0.005722,                   0,           0.0010075,           0.0010075,            0.082508
                  93,            0.047842,            0.014754,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054871,                   0,           0.0010091,           0.0010091,            0.082309
                  94,            0.051563,            0.020085,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054566,                   0,           0.0010106,           0.0010106,            0.082111
                  95,            0.050647,            0.016573,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054491,                   0,           0.0010118,           0.0010118,            0.081912
                  96,            0.052031,            0.017384,                   0,                   0,                   0,                   0,                   0,                   0,            0.005433,                   0,           0.0010129,           0.0010129,            0.081713
                  97,            0.048275,            0.018124,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054679,                   0,           0.0010137,           0.0010137,            0.081514
                  98,            0.050791,            0.017934,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054045,                   0,           0.0010144,           0.0010144,            0.081314
                  99,            0.051629,             0.01664,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051882,                   0,           0.0010148,           0.0010148,            0.081115
                 100,            0.053778,            0.018064,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051477,                   0,            0.001015,            0.001015,            0.080915
                 101,            0.048186,            0.016958,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051441,                   0,           0.0010151,           0.0010151,            0.080715
                 102,             0.04884,            0.017839,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050594,                   0,            0.001015,            0.001015,            0.080515
                 103,            0.044644,            0.016948,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049758,                   0,           0.0010146,           0.0010146,            0.080315
                 104,            0.044624,            0.017734,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050729,                   0,           0.0010141,           0.0010141,            0.080114
                 105,            0.039773,            0.019483,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053783,                   0,           0.0010133,           0.0010133,            0.079913
                 106,             0.04192,             0.01784,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055805,                   0,           0.0010124,           0.0010124,            0.079712
                 107,            0.051728,            0.015363,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054441,                   0,           0.0010113,           0.0010113,            0.079511
                 108,             0.04961,            0.016236,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053358,                   0,           0.0010099,           0.0010099,             0.07931
                 109,            0.045104,             0.01521,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049617,                   0,           0.0010084,           0.0010084,            0.079108
                 110,            0.046497,            0.016344,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051469,                   0,           0.0010067,           0.0010067,            0.078907
                 111,            0.048493,             0.01538,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049429,                   0,           0.0010047,           0.0010047,            0.078705
                 112,            0.043588,             0.01675,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051939,                   0,           0.0010026,           0.0010026,            0.078503
                 113,            0.047995,            0.014647,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049571,                   0,           0.0010003,           0.0010003,              0.0783
                 114,            0.046933,             0.01668,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050117,                   0,          0.00099775,          0.00099775,            0.078098
                 115,            0.048633,            0.014947,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048263,                   0,          0.00099503,          0.00099503,            0.077895
                 116,            0.045861,            0.017019,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047085,                   0,          0.00099211,          0.00099211,            0.077692
                 117,            0.037181,            0.014978,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047875,                   0,            0.000989,            0.000989,            0.077489
                 118,            0.043132,            0.019788,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049987,                   0,          0.00098568,          0.00098568,            0.077286
                 119,            0.040773,            0.016204,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051633,                   0,          0.00098217,          0.00098217,            0.077082
                 120,            0.039623,             0.01644,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054712,                   0,          0.00097846,          0.00097846,            0.076878
                 121,            0.047569,             0.01189,                   0,                   0,                   0,                   0,                   0,                   0,            0.004929,                   0,          0.00097455,          0.00097455,            0.076675
                 122,            0.044096,            0.015185,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048553,                   0,          0.00097045,          0.00097045,             0.07647
                 123,            0.039414,            0.020082,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052336,                   0,          0.00096614,          0.00096614,            0.076266
                 124,             0.04013,            0.013428,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052443,                   0,          0.00096164,          0.00096164,            0.076062
                 125,             0.04614,            0.011798,                   0,                   0,                   0,                   0,                   0,                   0,            0.005159,                   0,          0.00095694,          0.00095694,            0.075857
                 126,            0.043093,            0.013074,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049533,                   0,          0.00095204,          0.00095204,            0.075652
                 127,            0.039341,            0.015263,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047481,                   0,          0.00094694,          0.00094694,            0.075447
                 128,            0.036701,            0.014236,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048369,                   0,          0.00094165,          0.00094165,            0.075242
                 129,            0.037272,            0.014931,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049926,                   0,          0.00093616,          0.00093616,            0.075036
                 130,            0.042678,            0.016031,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051385,                   0,          0.00093047,          0.00093047,             0.07483
                 131,            0.041127,             0.01587,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050619,                   0,          0.00092458,          0.00092458,            0.074625
                 132,            0.043578,            0.015559,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050732,                   0,          0.00091849,          0.00091849,            0.074418
                 133,            0.038912,            0.015082,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051113,                   0,          0.00091221,          0.00091221,            0.074212
                 134,             0.03807,            0.017397,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053776,                   0,          0.00090572,          0.00090572,            0.074006
                 135,            0.037548,            0.015767,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056185,                   0,          0.00089904,          0.00089904,            0.073799
                 136,            0.041177,            0.015291,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058219,                   0,          0.00089216,          0.00089216,            0.073592
                 137,            0.039826,            0.014586,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057971,                   0,          0.00088509,          0.00088509,            0.073385
                 138,            0.041975,            0.014218,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057256,                   0,          0.00087781,          0.00087781,            0.073178
                 139,            0.041983,            0.013427,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054834,                   0,          0.00087034,          0.00087034,             0.07297
                 140,            0.038986,            0.013998,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054178,                   0,          0.00086267,          0.00086267,            0.072763
                 141,            0.035445,            0.016864,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055191,                   0,           0.0008548,           0.0008548,            0.072555
                 142,            0.035911,            0.011994,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054973,                   0,          0.00084674,          0.00084674,            0.072347
                 143,            0.038411,            0.016383,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055935,                   0,          0.00083847,          0.00083847,            0.072138
                 144,            0.039518,            0.015044,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058195,                   0,          0.00083001,          0.00083001,             0.07193
                 145,            0.036544,            0.013806,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056584,                   0,          0.00082135,          0.00082135,            0.071721
                 146,            0.041198,            0.014601,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054618,                   0,          0.00081249,          0.00081249,            0.071512
                 147,            0.039612,            0.015315,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053567,                   0,          0.00080343,          0.00080343,            0.071303
                 148,            0.038882,            0.011665,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052472,                   0,          0.00079418,          0.00079418,            0.071094
                 149,            0.034742,            0.012988,                   0,                   0,                   0,                   0,                   0,                   0,            0.005103,                   0,          0.00078473,          0.00078473,            0.070885
                 150,            0.035566,            0.011747,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051408,                   0,          0.00077507,          0.00077507,            0.070675
                 151,            0.030779,            0.011525,                   0,                   0,                   0,                   0,                   0,                   0,            0.005205,                   0,          0.00076523,          0.00076523,            0.070465
                 152,            0.033016,            0.013102,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053515,                   0,          0.00075518,          0.00075518,            0.070255
                 153,            0.037317,            0.013242,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053304,                   0,          0.00074494,          0.00074494,            0.070045
                 154,            0.038741,            0.012519,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053173,                   0,          0.00073449,          0.00073449,            0.069834
                 155,            0.032886,            0.014092,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053736,                   0,          0.00072385,          0.00072385,            0.069624
                 156,            0.037033,            0.017036,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056429,                   0,          0.00071301,          0.00071301,            0.069413
                 157,            0.036355,            0.014278,                   0,                   0,                   0,                   0,                   0,                   0,            0.005864,                   0,          0.00070198,          0.00070198,            0.069202
                 158,            0.039015,            0.011851,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057244,                   0,          0.00069074,          0.00069074,            0.068991
                 159,             0.03063,            0.012915,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057332,                   0,          0.00067931,          0.00067931,            0.068779
                 160,            0.034572,            0.016801,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057314,                   0,          0.00066768,          0.00066768,            0.068568
                 161,            0.034124,            0.012725,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057008,                   0,          0.00065585,          0.00065585,            0.068356
                 162,            0.034882,             0.01654,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056222,                   0,          0.00064382,          0.00064382,            0.068144
                 163,            0.031487,            0.013777,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054849,                   0,           0.0006316,           0.0006316,            0.067932
                 164,            0.038657,            0.013551,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054695,                   0,          0.00061918,          0.00061918,            0.067719
                 165,            0.033312,            0.014245,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053302,                   0,          0.00060656,          0.00060656,            0.067507
                 166,            0.037619,            0.013558,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052212,                   0,          0.00059374,          0.00059374,            0.067294
